Segments, Location, Referenced Data type, Value Set
IN2,24,IS,HL70143
IN2,54,IS,HL70222
IN2,57,IS,HL70232
IN2,15,IS,HL70141
IN2,33,CWE,HL70171
IN2,27,IS,HL70144
IN2,65,CWE,HL70343
IN2,62,CWE,HL70063
IN1,20,IS,HL70135
IN1,21,IS,HL70173
IN1,27,IS,HL70093
IN1,42,CWE,HL70066
IN1,53,IS,HL70099
IN1,47,IS,HL70309
IN1,2,CWE,HL70072
IN1,31,IS,HL70098
IN1,15,IS,HL70086
IN1,35,IS,HL70042
IN1,23,ID,HL70136
IN1,48,IS,HL70295
IN1,43,IS,HL70001
IN1,32,IS,HL70022
IN1,50,IS,HL70535
IN1,17,CWE,HL70063
LCC,2,CWE,HL70264
LCC,3,CWE,HL70129
LCC,4,CWE,HL70132
PKG,2,CWE,HL70818
PKG,3,CNE,HL70532
ROL,2,ID,HL70287
ROL,3,CWE,HL70443
ROL,10,CWE,HL70406
IN3,18,CWE,HL70346
IN3,17,CWE,HL70345
IN3,14,XCN,HL70010
IN3,24,IS,HL70152
IN3,4,ID,HL70136
IN3,12,CWE,HL70233
IN3,23,IS,HL70151
SID,4,CWE,HL70385
SID,1,CWE,HL79999
LCH,5,CWE,HL70136
LCH,2,ID,HL70206
LCH,4,CWE,HL70324
PCE,3,CWE,HL70132
PCE,2,IS,HL70319
SAC,12,CWE,HL70379
SAC,44,CWE,HL70377
SAC,8,CWE,HL70370
SAC,26,CWE,HL70381
SAC,27,CWE,HL70371
SAC,43,CWE,HL70376
SAC,30,CWE,HL70373
SAC,28,CWE,HL70372
SAC,41,CWE,HL70382
SAC,25,CWE,HL70380
SAC,9,CWE,HL70378
SAC,42,CWE,HL70375
SAC,40,CWE,HL70374
SAC,37,CWE,HL79999
TCD,6,ID,HL70136
TCD,8,CWE,HL70389
TCC,14,CWE,HL70388
TCC,13,CWE,HL79999
TCC,9,ID,HL70136
IVC,5,IS,HL70554
IVC,4,IS,HL70553
IVC,13,ID,HL70136
IVC,25,IS,HL70556
IVC,6,IS,HL70555
IVC,28,IS,HL70572
RXA,21,ID,HL70206
RXA,5,CWE,HL70292
RXA,17,CWE,HL70227
RXA,26,ID,HL70480
RXA,14,CWE,HL79999
RXA,20,ID,HL70322
EVN,1,ID,HL70003
EVN,4,IS,HL70062
EVN,5,XCN,HL70188
PD1,15,CWE,HL70435
PD1,6,IS,HL70295
PD1,1,IS,HL70223
PD1,7,IS,HL70315
PD1,3,XON,HL70204
PD1,11,CWE,HL70215
PD1,8,IS,HL70316
PD1,21,IS,HL70142
PD1,2,IS,HL70220
PD1,19,IS,HL70140
PD1,9,ID,HL70136
PD1,20,IS,HL70141
PD1,16,IS,HL70441
PD1,5,IS,HL70231
RXC,2,CWE,HL79999
RXC,1,ID,HL70166
PCR,11,IS,HL70245
PCR,23,ID,HL70253
PCR,22,ID,HL70252
PCR,15,CWE,HL70247
PCR,16,CWE,HL79999
PCR,21,ID,HL70251
PCR,9,IS,HL70244
PCR,13,IS,HL70246
PCR,17,ID,HL70248
PCR,2,IS,HL70249
PCR,19,ID,HL70242
PCR,20,ID,HL70250
RXE,35,CWE,HL70477
RXE,2,CWE,HL70292
RXE,30,ID,HL70321
RXE,9,ID,HL70167
RXE,24,CWE,HL79999
RXE,44,ID,HL70480
RXE,20,ID,HL70136
RXE,36,ID,HL70478
RGS,2,ID,HL70206
RXD,33,CWE,HL70484
RXD,11,ID,HL70167
RXD,32,ID,HL70480
RXD,2,CWE,HL70292
RXD,24,ID,HL70321
RXD,14,ID,HL70136
RXD,20,CWE,HL70227
RXD,25,CWE,HL79999
BPO,13,CWE,HL70509
BPO,3,CWE,HL70508
BPO,6,CWE,HL79999
BPO,14,ID,HL70136
RXG,10,ID,HL70167
RXG,21,CWE,HL70227
RXG,12,ID,HL70136
RXG,4,CWE,HL70292
RXG,26,ID,HL70480
RXG,7,CWE,HL79999
ORC,5,ID,HL70038
ORC,30,CNE,HL70483
ORC,16,CWE,HL79999
ORC,6,ID,HL70121
ORC,20,CWE,HL70339
ORC,29,CWE,HL70482
ORC,1,ID,HL70119
ORC,26,CWE,HL70552
ORC,28,CWE,HL70177
ORG,6,CWE,HL70452
ORG,10,CWE,HL70066
ORG,7,CWE,HL70453
ORG,2,CWE,HL70405
ORG,3,CWE,HL70474
ORG,11,ID,HL70136
ORG,8,CWE,HL70454
PTH,1,ID,HL70287
PTH,7,CNE,HL70725
IVT,12,CWE,HL70132
IVT,14,CWE,HL70634
IVT,15,CNE,HL70532
IVT,6,CWE,HL70625
IVT,21,CWE,HL70642
RXO,16,ID,HL70136
RXO,9,ID,HL70161
RXO,27,ID,HL70480
RXO,4,CWE,HL79999
RXO,31,CNE,HL70725
MFA,1,ID,HL70180
MFA,4,CWE,HL70181
MFA,5,VARIES,HL79999
MFA,6,ID,HL70355
BPX,2,CWE,HL70510
BPX,8,CWE,HL70512
BPX,16,CWE,HL79999
BPX,3,ID,HL70511
PDA,3,ID,HL70136
MFE,4,VARIES,HL79999
MFE,1,ID,HL70180
MFE,5,ID,HL70355
RXR,1,CWE,HL70162
RXR,2,CWE,HL70550
RXR,5,CWE,HL79999
RXR,4,CWE,HL70165
RXR,6,CWE,HL70495
RXR,3,CWE,HL70164
PDC,5,CWE,HL79999
PDC,10,ID,HL70330
INV,1,CWE,HL70451
INV,3,CWE,HL70384
INV,15,CWE,HL79999
INV,2,CWE,HL70383
INV,17,CWE,HL70385
INV,18,CWE,HL70386
MFI,6,ID,HL70179
MFI,2,HD,HL70361
MFI,3,ID,HL70178
MFI,1,CWE,HL70175
NPU,2,IS,HL70116
RQ1,2,CWE,HL70385
